Category,Subcategory,Threshold,Strategy,Score,Type,Driver
,,,Decentralized Surface Green,-,Driver,Water Quantity - Stormwater (Extreme)
,,,Decentralized Roof Top Green,-,Driver,Water Quantity - Stormwater (Extreme)
,,,Decentralized Surface Gray,-,Driver,Water Quantity - Stormwater (Extreme)
,,,Decentralized Subsurface Gray,+,Driver,Water Quantity - Stormwater (Extreme)
,,,Centralized Surface Green,++,Driver,Water Quantity - Stormwater (Extreme)
,,,Centralized Subsurface Gray,+,Driver,Water Quantity - Stormwater (Extreme)
,,,Decentralized Surface Green,+,Driver,Water Quantity - Basement Backups
,,,Decentralized Roof Top Green,-,Driver,Water Quantity - Basement Backups
,,,Decentralized Surface Gray,+,Driver,Water Quantity - Basement Backups
,,,Decentralized Subsurface Gray,+,Driver,Water Quantity - Basement Backups
,,,Centralized Surface Green,--,Driver,Water Quantity - Basement Backups
,,,Centralized Subsurface Gray,-,Driver,Water Quantity - Basement Backups
,,,Decentralized Surface Green,+,Driver,Water Quantity - Scarcity/Supply
,,,Decentralized Roof Top Green,+,Driver,Water Quantity - Scarcity/Supply
,,,Decentralized Surface Gray,+,Driver,Water Quantity - Scarcity/Supply
,,,Decentralized Subsurface Gray,+,Driver,Water Quantity - Scarcity/Supply
,,,Centralized Surface Green,+,Driver,Water Quantity - Scarcity/Supply
,,,Centralized Subsurface Gray,+,Driver,Water Quantity - Scarcity/Supply
,,,Decentralized Surface Green,++,Driver,Co-Benefits
,,,Decentralized Roof Top Green,+,Driver,Co-Benefits
,,,Decentralized Surface Gray,--,Driver,Co-Benefits
,,,Decentralized Subsurface Gray,--,Driver,Co-Benefits
,,,Centralized Surface Green,+,Driver,Co-Benefits
,,,Centralized Subsurface Gray,--,Driver,Co-Benefits
